
wavelength,intensity
3.831329956e+02,-1.083283933e-04
3.832447205e+02,1.186453810e-04
3.833564758e+02,-3.146681702e-04
3.834682007e+02,-1.181295258e-03
3.835799561e+02,1.418586005e-03
3.836916809e+02,-1.655876869e-03
3.838034363e+02,1.212246250e-03
3.839151917e+02,-3.657372668e-03
3.840269775e+02,2.883598674e-03
3.841387329e+02,-1.083283933e-04
3.842505188e+02,5.519589176e-04
3.843622742e+02,-5.210079835e-04
3.844740601e+02,2.218152804e-04
3.845858459e+02,2.168115415e-02
3.846976318e+02,9.646385442e-04
3.848094482e+02,8.821025840e-04
3.849212341e+02,1.645559794e-03
3.850330505e+02,-6.241778610e-04
3.851448669e+02,-1.697144820e-03
3.852566833e+02,6.344948779e-04
3.853684998e+02,1.666193828e-03
3.854803162e+02,-2.734002192e-04
3.855921326e+02,-1.697144820e-03
3.857039795e+02,-7.686156896e-04
3.858158264e+02,2.305847127e-03
3.859276733e+02,2.388383029e-03
3.860395203e+02,-1.036857488e-03
3.861513672e+02,1.026540413e-03
3.862632141e+02,1.480487990e-03
3.863750916e+02,-6.035438855e-04
3.864869690e+02,-1.057491405e-03
3.865988464e+02,-1.908643026e-04
3.867107239e+02,9.801139822e-05
3.868226013e+02,6.551288534e-04
3.869344788e+02,-2.274896251e-03
3.870463867e+02,-6.860797876e-04
3.871582642e+02,5.519589176e-04
3.872701721e+02,-7.067137631e-04
3.873820801e+02,7.582987309e-04
3.874939880e+02,-1.119393390e-03
3.876059265e+02,1.088442397e-03
3.877178345e+02,-1.057491405e-03
3.878297729e+02,-2.114982781e-04
3.879416809e+02,-1.738412771e-03
3.880536194e+02,-6.448118365e-04
3.881655579e+02,-1.532072900e-03
3.882775269e+02,1.893167617e-03
3.883894653e+02,1.645559794e-03
3.885014038e+02,2.424492559e-04
3.886133728e+02,3.213742282e-03
3.887253418e+02,9.027365595e-04
3.888373108e+02,8.408346330e-04
3.889492798e+02,2.883598674e-03
3.890612793e+02,-5.829099100e-04
3.891732483e+02,3.610946442e-05
3.892852478e+02,1.005906495e-03
3.893972168e+02,1.624925877e-03
3.895092163e+02,-5.829099100e-04
3.896212463e+02,2.780428622e-03
3.897332458e+02,1.418586005e-03
3.898452454e+02,5.519589176e-04
3.899572754e+02,-8.511516498e-04
3.900693054e+02,3.915297333e-03
3.901813049e+02,7.376647554e-04
3.902933350e+02,4.554951098e-03
3.904053955e+02,-5.210079835e-04
3.905174255e+02,3.662531381e-04
3.906294861e+02,7.737742271e-05
3.907415161e+02,1.542389975e-03
3.908535767e+02,3.688323777e-03
3.909656372e+02,2.697892720e-03
3.910776978e+02,3.662531381e-04
3.911897583e+02,2.630832314e-04
3.913018494e+02,-1.243197243e-03
3.914139099e+02,-3.512935014e-03
3.915260010e+02,2.780428622e-03
3.916380920e+02,1.294782152e-03
3.917501831e+02,1.599133393e-04
3.918622742e+02,2.883598674e-03
3.919743958e+02,4.946996458e-03
3.920864868e+02,8.408346330e-04
3.921986084e+02,2.837172069e-04
3.923107300e+02,6.344948779e-04
3.924228516e+02,3.456191625e-04
3.925349731e+02,3.564519808e-03
3.926470947e+02,-1.702303271e-04
3.927592468e+02,3.296278184e-03
3.928713684e+02,3.213742282e-03
3.929835205e+02,2.470918931e-03
3.930956726e+02,-2.171726199e-03
3.932078247e+02,3.868871136e-04
3.933199768e+02,5.932268687e-04
3.934321594e+02,6.344948779e-04
3.935443115e+02,-1.702303271e-04
3.936564941e+02,3.089938313e-03
3.937686768e+02,2.945500426e-03
3.938808594e+02,1.748729730e-03
3.939930420e+02,7.170307799e-04
3.941052246e+02,3.770859679e-03
3.942174377e+02,1.356684137e-03
3.943296204e+02,2.140775323e-03
3.944418335e+02,-1.083283933e-04
3.945540466e+02,1.810631715e-03
3.946662598e+02,3.770859679e-03
3.947785034e+02,-5.416419590e-04
3.948907166e+02,-7.273477386e-04
3.950029297e+02,2.594722901e-03
3.951151733e+02,1.109076315e-03
3.952274170e+02,3.255010117e-03
3.953396606e+02,1.088442397e-03
3.954519043e+02,6.329473108e-03
3.955641785e+02,-6.654458120e-04
3.956764221e+02,4.761290736e-03
3.957886963e+02,4.967630375e-03
3.959009399e+02,3.647055710e-03
3.960132141e+02,3.296278184e-03
3.961254883e+02,3.316912102e-03
3.962377930e+02,2.821696689e-03
3.963500671e+02,3.729591612e-03
3.964623718e+02,5.442211870e-03
3.965746460e+02,3.234376200e-03
3.966869507e+02,5.519589176e-04
3.967992554e+02,7.376647554e-04
3.969115601e+02,6.551288534e-04
3.970238953e+02,3.997833468e-03
3.971362000e+02,2.326481044e-03
3.972485352e+02,5.215238314e-03
3.973608398e+02,4.575585015e-03
3.974731750e+02,5.607283674e-03
3.975855103e+02,1.336050103e-03
3.976978760e+02,2.470918931e-03
3.978102112e+02,2.532820916e-03
3.979225464e+02,5.854891613e-03
3.980349121e+02,4.245441407e-03
3.981472778e+02,1.893167617e-03
3.982596436e+02,2.285213210e-03
3.983720093e+02,4.059735220e-03
3.984843750e+02,2.986768493e-03
3.985967712e+02,3.688323777e-03
3.987091370e+02,1.458306424e-02
3.988215332e+02,4.369244911e-03
3.989339294e+02,4.389878828e-03
3.990463257e+02,3.874029499e-03
3.991587219e+02,4.183539189e-03
3.992711487e+02,3.028036328e-03
3.993835449e+02,6.040597335e-03
3.994959717e+02,5.834257696e-03
3.996083984e+02,5.978695583e-03
3.997208252e+02,6.308839191e-03
3.998332520e+02,6.432643160e-03
3.999456787e+02,7.794485427e-03
4.000581055e+02,6.040597335e-03
4.001705627e+02,8.248433471e-03
4.002830200e+02,6.804054603e-03
4.003954468e+02,6.886590272e-03
4.005079041e+02,7.237368263e-03
4.006203918e+02,1.058007311e-02
4.007328491e+02,8.207164705e-03
4.008453064e+02,1.066260878e-02
4.009577942e+02,1.047690306e-02
4.010702820e+02,1.049753651e-02
4.011827698e+02,1.231332682e-02
4.012952576e+02,1.328312419e-02
4.014077454e+02,1.388150919e-02
4.015202332e+02,1.454179641e-02
4.016327515e+02,2.163988538e-02
4.017452698e+02,1.951458491e-02
4.018577576e+02,2.036057971e-02
4.019702759e+02,2.194939554e-02
4.020827942e+02,2.906811796e-02
4.021953430e+02,3.172990307e-02
4.023078613e+02,3.503133729e-02
4.024204102e+02,4.006602988e-02
4.025329285e+02,4.741172493e-02
4.026454773e+02,5.506693199e-02
4.027580261e+02,6.936627626e-02
4.028706055e+02,8.228314668e-02
4.029831543e+02,1.126357317e-01
4.030957031e+02,1.450517178e-01
4.032082825e+02,2.073456943e-01
4.033208618e+02,3.122901022e-01
4.034334412e+02,4.883185923e-01
4.035460205e+02,7.079466581e-01
